From	To
CX3CL1	CX3CR1
CXCL12	ACKR3
CXCL12	CXCR4
IL25	IL17RB
BMP2	BMPR1A
BMP2	BMPR1B
BMP2	BMPR2
BMP2	ACVR1
BMP7	BMPR1B
BMP7	ACVR2A
XCL2	XCR1
TGFB1	TGFBR1
TGFB1	TGFBR2
TGFB2	TGFBR1
TGFB2	TGFBR2
TGFB3	TGFBR1
TGFB3	TGFBR2
TNF	TNFRSF1A
TNF	TNFRSF1B
TPO	MPL
TNFSF4	TNFRSF4
VEGFA	FLT1
VEGFA	KDR
VEGFB	FLT1
VEGFC	FLT4
VEGFC	KDR
PLEKHO2	PDGFRB
GDF5	BMPR1A
GDF5	ACVR2A
INHBE	ACVR1
INHBE	ACVR1B
INHBE	ACVR2A
INHBE	ACVR2B
TSLP	IL7R
TSLP	CRLF2
TNFSF11	TNFRSF11B
TNFSF11	TNFRSF11A
TNFSF14	LTBR
TNFSF14	TNFRSF14
TNFSF14	TNFRSF6B
TNFSF13	TNFRSF13B
TNFSF13	TNFRSF17
TNFSF12	TNFRSF12A
TNFSF10	TNFRSF11B
TNFSF10	TNFRSF10D
TNFSF10	TNFRSF10C
TNFSF10	TNFRSF10B
TNFSF10	TNFRSF10A
TNFSF9	TNFRSF9
TNFSF18	TNFRSF18
TNFSF8	TNFRSF8
CCL4L1	CCR5
CD40LG	CD40
CD70	CD27
LAMC3	DAG1
LAMC3	SV2C
LAMC3	ITGA6
LAMC3	ITGA1
LAMC3	ITGA2
LAMC3	ITGA3
LAMC3	ITGA7
LAMC3	ITGA9
LAMC3	ITGAV
LAMC3	ITGB1
LAMC3	ITGB4
LAMC3	ITGB8
LAMC3	CD44
LAMC3	SV2B
LAMC3	SV2A
CHAD	ITGA2
CHAD	ITGB1
COL1A1	ITGA11
COL1A1	ITGA1
COL1A1	ITGA2
COL1A1	ITGA3
COL1A1	ITGA9
COL1A1	ITGAV
COL1A1	ITGB1
COL1A1	ITGB8
COL1A1	GP6
COL1A1	SDC1
COL1A1	SDC4
COL1A1	ITGA10
COL1A1	CD44
COL1A2	ITGA11
COL1A2	ITGA1
COL1A2	ITGA2
COL1A2	ITGA3
COL1A2	ITGA9
COL1A2	ITGAV
COL1A2	ITGB1
COL1A2	ITGB8
COL1A2	GP6
COL1A2	SDC1
COL1A2	SDC4
COL1A2	ITGA10
COL1A2	CD44
COL2A1	ITGA11
COL2A1	ITGA1
COL2A1	ITGA2
COL2A1	ITGA3
COL2A1	ITGA9
COL2A1	ITGAV
COL2A1	ITGB1
COL2A1	ITGB8
COL2A1	GP6
COL2A1	SDC1
COL2A1	SDC4
COL2A1	ITGA10
COL2A1	CD44
COL3A1	ITGA11
COL3A1	ITGA1
COL3A1	ITGA2
COL3A1	ITGA3
COL3A1	ITGA9
COL3A1	ITGAV
COL3A1	ITGB1
COL3A1	ITGB8
COL3A1	GP6
COL3A1	SDC1
COL3A1	SDC4
COL3A1	ITGA10
COL3A1	CD44
COL4A1	ITGA11
COL4A1	ITGA1
COL4A1	ITGA2
COL4A1	ITGA3
COL4A1	ITGA9
COL4A1	ITGAV
COL4A1	ITGB1
COL4A1	ITGB8
COL4A1	GP6
COL4A1	SDC1
COL4A1	SDC4
COL4A1	ITGA10
COL4A1	CD44
COL4A2	ITGA11
COL4A2	ITGA1
COL4A2	ITGA2
COL4A2	ITGA3
COL4A2	ITGA9
COL4A2	ITGAV
COL4A2	ITGB1
COL4A2	ITGB8
COL4A2	GP6
COL4A2	SDC1
COL4A2	SDC4
COL4A2	ITGA10
COL4A2	CD44
COL4A3	ITGA11
COL4A3	ITGA1
COL4A3	ITGA2
COL4A3	ITGA3
COL4A3	ITGA9
COL4A3	ITGAV
COL4A3	ITGB1
COL4A3	ITGB8
COL4A3	GP6
COL4A3	SDC1
COL4A3	SDC4
COL4A3	ITGA10
COL4A3	CD44
COL4A4	ITGA11
COL4A4	ITGA1
COL4A4	ITGA2
COL4A4	ITGA3
COL4A4	ITGA9
COL4A4	ITGAV
COL4A4	ITGB1
COL4A4	ITGB8
COL4A4	GP6
COL4A4	SDC1
COL4A4	SDC4
COL4A4	ITGA10
COL4A4	CD44
COL4A5	ITGA11
COL4A5	ITGA1
COL4A5	ITGA2
COL4A5	ITGA3
COL4A5	ITGA9
COL4A5	ITGAV
COL4A5	ITGB1
COL4A5	ITGB8
COL4A5	GP6
COL4A5	SDC1
COL4A5	SDC4
COL4A5	ITGA10
COL4A5	CD44
COL4A6	ITGA11
COL4A6	ITGA1
COL4A6	ITGA2
COL4A6	ITGA3
COL4A6	ITGA9
COL4A6	ITGAV
COL4A6	ITGB1
COL4A6	ITGB8
COL4A6	GP6
COL4A6	SDC1
COL4A6	SDC4
COL4A6	ITGA10
COL4A6	CD44
COL5A1	ITGA11
COL5A1	ITGA1
COL5A1	ITGA2
COL5A1	ITGA3
COL5A1	ITGA9
COL5A1	ITGAV
COL5A1	ITGB1
COL5A1	ITGB8
COL5A1	GP6
COL5A1	SDC1
COL5A1	SDC4
COL5A1	ITGA10
COL5A1	CD44
COL5A2	ITGA11
COL5A2	ITGA1
COL5A2	ITGA2
COL5A2	ITGA3
COL5A2	ITGA9
COL5A2	ITGAV
COL5A2	ITGB1
COL5A2	ITGB8
COL5A2	GP6
COL5A2	SDC1
COL5A2	SDC4
COL5A2	ITGA10
COL5A2	CD44
COL6A1	ITGA11
COL6A1	ITGA1
COL6A1	ITGA2
COL6A1	ITGA3
COL6A1	ITGA9
COL6A1	ITGAV
COL6A1	ITGB1
COL6A1	ITGB8
COL6A1	GP6
COL6A1	SDC1
COL6A1	SDC4
COL6A1	ITGA10
COL6A1	CD44
COL6A2	ITGA11
COL6A2	ITGA1
COL6A2	ITGA2
COL6A2	ITGA3
COL6A2	ITGA9
COL6A2	ITGAV
COL6A2	ITGB1
COL6A2	ITGB8
COL6A2	GP6
COL6A2	SDC1
COL6A2	SDC4
COL6A2	ITGA10
COL6A2	CD44
COL6A3	ITGA11
COL6A3	ITGA1
COL6A3	ITGA2
COL6A3	ITGA3
COL6A3	ITGA9
COL6A3	ITGAV
COL6A3	ITGB1
COL6A3	ITGB8
COL6A3	GP6
COL6A3	SDC1
COL6A3	SDC4
COL6A3	ITGA10
COL6A3	CD44
COL11A1	ITGA11
COL11A1	ITGA1
COL11A1	ITGA2
COL11A1	ITGA3
COL11A1	ITGA9
COL11A1	ITGAV
COL11A1	ITGB1
COL11A1	ITGB8
COL11A1	GP6
COL11A1	SDC1
COL11A1	SDC4
COL11A1	ITGA10
COL11A1	CD44
COL11A2	ITGA11
COL11A2	ITGA1
COL11A2	ITGA2
COL11A2	ITGA3
COL11A2	ITGA9
COL11A2	ITGAV
COL11A2	ITGB1
COL11A2	ITGB8
COL11A2	GP6
COL11A2	SDC1
COL11A2	SDC4
COL11A2	ITGA10
COL11A2	CD44
COMP	ITGA2B
COMP	ITGA3
COMP	ITGAV
COMP	ITGB1
COMP	ITGB3
COMP	SDC1
COMP	SDC4
COMP	CD36
COMP	CD47
COL6A6	ITGA11
COL6A6	ITGA1
COL6A6	ITGA2
COL6A6	ITGA3
COL6A6	ITGA9
COL6A6	ITGAV
COL6A6	ITGB1
COL6A6	ITGB8
COL6A6	GP6
COL6A6	SDC1
COL6A6	SDC4
COL6A6	ITGA10
COL6A6	CD44
LAMB4	DAG1
LAMB4	SV2C
LAMB4	ITGA6
LAMB4	ITGA1
LAMB4	ITGA2
LAMB4	ITGA3
LAMB4	ITGA7
LAMB4	ITGA9
LAMB4	ITGAV
LAMB4	ITGB1
LAMB4	ITGB4
LAMB4	ITGB8
LAMB4	CD44
LAMB4	SV2B
LAMB4	SV2A
FN1	ITGA2B
FN1	ITGA3
FN1	ITGA4
FN1	ITGA5
FN1	ITGAV
FN1	ITGB1
FN1	ITGB3
FN1	ITGB6
FN1	ITGB7
FN1	ITGB8
FN1	SDC1
FN1	SDC4
FN1	ITGA8
FN1	CD44
COL24A1	ITGA11
COL24A1	ITGA1
COL24A1	ITGA2
COL24A1	ITGA3
COL24A1	ITGA9
COL24A1	ITGAV
COL24A1	ITGB1
COL24A1	ITGB8
COL24A1	GP6
COL24A1	SDC1
COL24A1	SDC4
COL24A1	ITGA10
COL24A1	CD44
LAMA1	DAG1
LAMA1	SV2C
LAMA1	ITGA6
LAMA1	ITGA1
LAMA1	ITGA2
LAMA1	ITGA3
LAMA1	ITGA7
LAMA1	ITGA9
LAMA1	ITGAV
LAMA1	ITGB1
LAMA1	ITGB4
LAMA1	ITGB8
LAMA1	CD44
LAMA1	SV2B
LAMA1	SV2A
HSPG2	DAG1
TNC	ITGA9
TNC	ITGAV
TNC	ITGB1
TNC	ITGB3
TNC	ITGB6
TNC	SDC1
TNC	SDC4
TNC	ITGA8
IBSP	ITGAV
IBSP	ITGB3
IBSP	ITGB5
AGRN	DAG1
LAMA2	DAG1
LAMA2	SV2C
LAMA2	ITGA6
LAMA2	ITGA1
LAMA2	ITGA2
LAMA2	ITGA3
LAMA2	ITGA7
LAMA2	ITGA9
LAMA2	ITGAV
LAMA2	ITGB1
LAMA2	ITGB4
LAMA2	ITGB8
LAMA2	CD44
LAMA2	SV2B
LAMA2	SV2A
LAMA3	DAG1
LAMA3	SV2C
LAMA3	ITGA6
LAMA3	ITGA1
LAMA3	ITGA2
LAMA3	ITGA3
LAMA3	ITGA7
LAMA3	ITGA9
LAMA3	ITGAV
LAMA3	ITGB1
LAMA3	ITGB4
LAMA3	ITGB8
LAMA3	CD44
LAMA3	SV2B
LAMA3	SV2A
LAMA4	DAG1
LAMA4	SV2C
LAMA4	ITGA6
LAMA4	ITGA1
LAMA4	ITGA2
LAMA4	ITGA3
LAMA4	ITGA7
LAMA4	ITGA9
LAMA4	ITGAV
LAMA4	ITGB1
LAMA4	ITGB4
LAMA4	ITGB8
LAMA4	CD44
LAMA4	SV2B
LAMA4	SV2A
LAMA5	DAG1
LAMA5	SV2C
LAMA5	ITGA6
LAMA5	ITGA1
LAMA5	ITGA2
LAMA5	ITGA3
LAMA5	ITGA7
LAMA5	ITGA9
LAMA5	ITGAV
LAMA5	ITGB1
LAMA5	ITGB4
LAMA5	ITGB8
LAMA5	CD44
LAMA5	SV2B
LAMA5	SV2A
LAMB1	DAG1
LAMB1	SV2C
LAMB1	ITGA6
LAMB1	ITGA1
LAMB1	ITGA2
LAMB1	ITGA3
LAMB1	ITGA7
LAMB1	ITGA9
LAMB1	ITGAV
LAMB1	ITGB1
LAMB1	ITGB4
LAMB1	ITGB8
LAMB1	CD44
LAMB1	SV2B
LAMB1	SV2A
LAMB2	DAG1
LAMB2	SV2C
LAMB2	ITGA6
LAMB2	ITGA1
LAMB2	ITGA2
LAMB2	ITGA3
LAMB2	ITGA7
LAMB2	ITGA9
LAMB2	ITGAV
LAMB2	ITGB1
LAMB2	ITGB4
LAMB2	ITGB8
LAMB2	CD44
LAMB2	SV2B
LAMB2	SV2A
LAMB3	DAG1
LAMB3	SV2C
LAMB3	ITGA6
LAMB3	ITGA1
LAMB3	ITGA2
LAMB3	ITGA3
LAMB3	ITGA7
LAMB3	ITGA9
LAMB3	ITGAV
LAMB3	ITGB1
LAMB3	ITGB4
LAMB3	ITGB8
LAMB3	CD44
LAMB3	SV2B
LAMB3	SV2A
LAMC1	DAG1
LAMC1	SV2C
LAMC1	ITGA6
LAMC1	ITGA1
LAMC1	ITGA2
LAMC1	ITGA3
LAMC1	ITGA7
LAMC1	ITGA9
LAMC1	ITGAV
LAMC1	ITGB1
LAMC1	ITGB4
LAMC1	ITGB8
LAMC1	CD44
LAMC1	SV2B
LAMC1	SV2A
LAMC2	DAG1
LAMC2	SV2C
LAMC2	ITGA6
LAMC2	ITGA1
LAMC2	ITGA2
LAMC2	ITGA3
LAMC2	ITGA7
LAMC2	ITGA9
LAMC2	ITGAV
LAMC2	ITGB1
LAMC2	ITGB4
LAMC2	ITGB8
LAMC2	CD44
LAMC2	SV2B
LAMC2	SV2A
COL5A3	ITGA11
COL5A3	ITGA1
COL5A3	ITGA2
COL5A3	ITGA3
COL5A3	ITGA9
COL5A3	ITGAV
COL5A3	ITGB1
COL5A3	ITGB8
COL5A3	GP6
COL5A3	SDC1
COL5A3	SDC4
COL5A3	ITGA10
COL5A3	CD44
RELN	ITGA3
RELN	ITGB1
TNN	ITGA9
TNN	ITGAV
TNN	ITGB1
TNN	ITGB3
TNN	ITGB6
TNN	SDC1
TNN	SDC4
TNN	ITGA8
SPP1	ITGA4
SPP1	ITGA9
SPP1	ITGAV
SPP1	ITGB1
SPP1	ITGB3
SPP1	ITGB5
THBS1	ITGA2B
THBS1	ITGA3
THBS1	ITGAV
THBS1	ITGB1
THBS1	ITGB3
THBS1	SDC1
THBS1	SDC4
THBS1	CD36
THBS1	CD47
THBS2	ITGA2B
THBS2	ITGA3
THBS2	ITGAV
THBS2	ITGB1
THBS2	ITGB3
THBS2	SDC1
THBS2	SDC4
THBS2	CD36
THBS2	CD47
THBS3	ITGA2B
THBS3	ITGA3
THBS3	ITGAV
THBS3	ITGB1
THBS3	ITGB3
THBS3	SDC1
THBS3	SDC4
THBS3	CD36
THBS3	CD47
THBS4	ITGA2B
THBS4	ITGA3
THBS4	ITGAV
THBS4	ITGB1
THBS4	ITGB3
THBS4	SDC1
THBS4	SDC4
THBS4	CD36
THBS4	CD47
TNR	ITGA9
TNR	ITGAV
TNR	ITGB1
TNR	ITGB3
TNR	ITGB6
TNR	SDC1
TNR	SDC4
TNR	ITGA8
TNXB	ITGA9
TNXB	ITGAV
TNXB	ITGB1
TNXB	ITGB3
TNXB	ITGB6
TNXB	SDC1
TNXB	SDC4
TNXB	ITGA8
VTN	ITGA2B
VTN	ITGAV
VTN	ITGB1
VTN	ITGB3
VTN	ITGB5
VTN	ITGB8
VTN	ITGA8
VWF	GP1BA
VWF	GP1BB
VWF	GP5
VWF	GP9
VWF	ITGA2B
VWF	ITGAV
VWF	ITGB3
CGA	FSHR
CGA	LHCGR
CGA	TSHR
CSH1	GHR
CSH2	GHR
CTSG	F2R
CTSG	F2RL1
CTSG	F2RL2
CTSG	F2RL3
F2	F2R
F2	F2RL1
F2	F2RL2
F2	F2RL3
FSHB	FSHR
GZMA	F2R
GZMA	F2RL1
GZMA	F2RL2
GZMA	F2RL3
LHB	LHCGR
PLG	F2R
PLG	F2RL1
PLG	F2RL2
PLG	F2RL3
PRSS1	F2R
PRSS1	F2RL1
PRSS1	F2RL2
PRSS1	F2RL3
PRSS2	F2R
PRSS2	F2RL1
PRSS2	F2RL2
PRSS2	F2RL3
PRSS3	F2R
PRSS3	F2RL1
PRSS3	F2RL2
PRSS3	F2RL3
TSHB	TSHR
DLK1	NOTCH1
DLK1	NOTCH2
DLK1	NOTCH3
DLK1	NOTCH4
JAG1	NOTCH1
JAG1	NOTCH2
JAG1	NOTCH3
JAG1	NOTCH4
JAG2	NOTCH1
JAG2	NOTCH2
JAG2	NOTCH3
JAG2	NOTCH4
DLL1	NOTCH1
DLL1	NOTCH2
DLL1	NOTCH3
DLL1	NOTCH4
DLL3	NOTCH1
DLL3	NOTCH2
DLL3	NOTCH3
DLL3	NOTCH4
DLL4	NOTCH1
DLL4	NOTCH3
DLL4	NOTCH4
EFNA1	EPHA1
EFNA1	EPHA2
EFNA1	EPHA3
EFNA1	EPHA4
EFNA1	EPHA5
EFNA1	EPHA7
EFNA1	EPHA8
EFNA2	EPHA1
EFNA2	EPHA2
EFNA2	EPHA3
EFNA2	EPHA4
EFNA2	EPHA5
EFNA2	EPHA7
EFNA2	EPHA8
EFNA3	EPHA1
EFNA3	EPHA2
EFNA3	EPHA3
EFNA3	EPHA4
EFNA3	EPHA5
EFNA3	EPHA7
EFNA3	EPHA8
EFNA4	EPHA1
EFNA4	EPHA2
EFNA4	EPHA3
EFNA4	EPHA4
EFNA4	EPHA5
EFNA4	EPHA7
EFNA4	EPHA8
EFNA5	EPHA1
EFNA5	EPHA2
EFNA5	EPHA3
EFNA5	EPHA4
EFNA5	EPHA5
EFNA5	EPHA7
EFNA5	EPHA8
EFNB1	EPHB1
EFNB1	EPHB2
EFNB1	EPHB3
EFNB1	EPHB4
EFNB1	EPHB6
EFNB1	EPHA4
EFNB2	EPHB1
EFNB2	EPHB2
EFNB2	EPHB3
EFNB2	EPHB4
EFNB2	EPHB6
EFNB2	EPHA4
EFNB3	EPHB1
EFNB3	EPHB2
EFNB3	EPHB3
EFNB3	EPHB4
EFNB3	EPHB6
EFNB3	EPHA4
TNF	LTBR
TNFSF7	TNFRSF7
TNFSF5	TNFRSF5
TNFSF6	TNFRSF6
TNFSF6	TNFRSF6B
TNFSF12	TNFRSF12
-	IL2RA
-	IL2RB
-	IL2RG
IL13	IL13RA2
IL13	IL2RG
IL17	IL17R
IL16	CD4
IL1RN	IL1R1
IL1RN	IL1R2
IGF1	IGF1R
IGF2	IGF2R
INS	INSR
MST1	MST1R
FGF1	FGFR1
FGF1	FGFR2
FGF1	FGFR3
FGF1	FGFR4
FGF2	FGFR1
FGF2	FGFR2
FGF2	FGFR3
FGF2	FGFR4
FGF3	FGFR1
FGF3	FGFR2
FGF4	FGFR1
FGF4	FGFR2
FGF4	FGFR3
FGF4	FGFR4
FGF5	FGFR1
FGF5	FGFR2
FGF5	FGFR3
FGF6	FGFR1
FGF6	FGFR2
FGF6	FGFR4
FGF7	FGFR2
FGF8	FGFR2
FGF8	FGFR3
FGF8	FGFR4
FGF9	FGFR1
FGF9	FGFR2
FGF9	FGFR3
FGF9	FGFR4
FGF10	FGFR1
FGF10	FGFR2
FGF10	FGFR3
FGF10	FGFR4
FGF11	FGFR1
FGF11	FGFR2
FGF11	FGFR3
FGF11	FGFR4
FGF12	FGFR1
FGF12	FGFR2
FGF12	FGFR3
FGF12	FGFR4
FGF12B	FGFR1
FGF12B	FGFR2
FGF12B	FGFR3
FGF12B	FGFR4
FGF14	FGFR1
FGF14	FGFR2
FGF14	FGFR3
FGF14	FGFR4
FGF16	FGFR1
FGF16	FGFR2
FGF16	FGFR3
FGF16	FGFR4
FGF17	FGFR1
FGF17	FGFR2
FGF17	FGFR3
FGF17	FGFR4
FGF18	FGFR1
FGF18	FGFR2
FGF18	FGFR3
FGF18	FGFR4
FGF19	FGFR1
FGF19	FGFR2
FGF19	FGFR3
FGF19	FGFR4
NGFB	NTRK1
NGFB	NGFR
BDNF	NTRK2
BDNF	NGFR
NTF3	NTRK1
NTF3	NTRK2
NTF3	NTRK3
NTF3	NGFR
NTF5	NTRK1
NTF5	NTRK2
NTF5	NTRK3
NTF5	NGFR
THPO	MPL
ANGPT1	TEK
ANGPT2	TEK
ANGPTL1	TEK
VEGF	FLT1
VEGF	KDR
VEGF	NRP1
VEGF	NRP2
PGF	FLT1
PGF	NRP1
TGFA	EGFR
AREG	EGFR
BTC	EGFR
BTC	ERBB3
BTC	ERBB4
NRG1	ERBB4
NRG1	ERBB3
NRG1	ERBB2
DTR	EGFR
DTR	ERBB4
EREG	EGFR
EREG	ERBB4
SCGF	KIT
MDK	PTPRZ1
MDK	PTPRB
PTN	PTPRZ1
PTN	PTPRB
PTN	KIAA0468
TGFB1	TGFBR3
TGFB2	TGFBR3
TGFB3	TGFBR3
BMP2	ACVR2
BMP2	ACVR2B
BMP3	BMPR1A
