interaction_name ligand_type interaction_type lig_contributor lig_contributor_group lig_contributor_coeff target_subunit target_subunit_group target_subunit_coeff
56 Glu_GRM6 Neurotransmitter ligand-receptor GLS-SLC17A6-SLC17A7-SLC17A8 1-2-2-2 1-1  1 1
57 Glu_GRM7 Neurotransmitter ligand-receptor GLS-SLC17A6-SLC17A7-SLC17A8 1-2-2-2 1-1  1 1
58 Glu_GRM8 Neurotransmitter ligand-receptor GLS-SLC17A6-SLC17A7-SLC17A8 1-2-2-2 1-1  1 1
59 Glu_GRM2 Neurotransmitter ligand-receptor GLS-SLC17A6-SLC17A7-SLC17A8 1-2-2-2 1-1  1 1
60 Glu_GRM3 Neurotransmitter ligand-receptor GLS-SLC17A6-SLC17A7-SLC17A8 1-2-2-2 1-1  1 1
61 NRXN1_NLGN1 Synaptic adhesion molecule ligand-receptor NRXN1 1 1  1 1
62 NRXN2_NLGN2 Synaptic adhesion molecule ligand-receptor NRXN2 1 1  1 1
63 NRXN3_NLGN3 Synaptic adhesion molecule ligand-receptor NRXN3 1 1  1 1
64 GABA_GABRA1 Neurotransmitter ligand-receptor GAD1-GAD2-SLC32A1 1-1-2 1-1  1 1
65 GABA_GABRA2 Neurotransmitter ligand-receptor GAD1-GAD2-SLC32A1 1-1-2 1-1  1 1
66 GABA_GABRA3 Neurotransmitter ligand-receptor GAD1-GAD2-SLC32A1 1-1-2 1-1  1 1
67 GABA_GABRA4 Neurotransmitter ligand-receptor GAD1-GAD2-SLC32A1 1-1-2 1-1  1 1
68 GABA_GABRA5 Neurotransmitter ligand-receptor GAD1-GAD2-SLC32A1 1-1-2 1-1  1 1
69 GABA_GABRA6 Neurotransmitter ligand-receptor GAD1-GAD2-SLC32A1 1-1-2 1-1  1 1
70 GABA_GABRB1 Neurotransmitter ligand-receptor GAD1-GAD2-SLC32A1 1-1-2 1-1  1 1
71 GABA_GABRB2 Neurotransmitter ligand-receptor GAD1-GAD2-SLC32A1 1-1-2 1-1  1 1
72 GABA_GABRB3 Neurotransmitter ligand-receptor GAD1-GAD2-SLC32A1 1-1-2 1-1  1 1
