source,target,source_genesymbol,target_genesymbol,resource
P07996,O75197,THBS1,LRP5,consensus
P07996,P13612,THBS1,ITGA4,consensus
P07996,P16671,THBS1,CD36,consensus
P07996,P18827,THBS1,SDC1,consensus
P07996,P23229,THBS1,ITGA6,consensus
P07996,Q07954,THBS1,LRP1,consensus
P07996,Q08722,THBS1,CD47,consensus
P07996,Q12913,THBS1,PTPRJ,consensus
P07996,Q8WTV0,THBS1,SCARB1,consensus
P08174,P17927,CD55,CR1,consensus
P08174,P48960,CD55,ADGRE5,consensus
P08174,Q9UHX3,CD55,ADGRE2,consensus
P08571,O00206,CD14,TLR4,consensus
P08571,P05107,CD14,ITGB2,consensus
P08571,P05556,CD14,ITGB1,consensus
P08571,P13612,CD14,ITGA4,consensus
P08571,Q15399,CD14,TLR1,consensus
P08571,Q9NR96,CD14,TLR9,consensus
P08571,Q9Y2C9,CD14,TLR6,consensus
P08582,P02786,MELTF,TFRC,consensus
P09326,P06729,CD48,CD2,consensus
P09326,Q9BZW8,CD48,CD244,consensus
P09603,P78324,CSF1,SIRPA,consensus
P09603,Q9NYQ7,CSF1,CELSR3,consensus
P10321,A6NJW9,HLA-C,CD8B2,consensus
P10321,O75019,HLA-C,LILRA1,consensus
P10321,P01732,HLA-C,CD8A,consensus
P10321,P04234,HLA-C,CD3D,consensus
P10321,P09693,HLA-C,CD3G,consensus
P10321,P10966,HLA-C,CD8B,consensus
P10321,P43626,HLA-C,KIR2DL1,consensus
P10321,P43627,HLA-C,KIR2DL2,consensus
P10321,P43628,HLA-C,KIR2DL3,consensus
P10321,P43629,HLA-C,KIR3DL1,consensus
P10321,P43632,HLA-C,KIR2DS4,consensus
P10321,Q14954,HLA-C,KIR2DS1,consensus
P10321,Q8N423,HLA-C,LILRB2,consensus
P10321,Q8N6C8,HLA-C,LILRA3,consensus
P10321,Q8N743,HLA-C,KIR3DL3,consensus
P10321,Q8NHL6,HLA-C,LILRB1,consensus
P10321,Q99466,HLA-C,NOTCH4,consensus
P10600,COMPLEX:P36896_P37173,TGFB3,ACVR1B_TGFBR2,consensus
P10600,COMPLEX:P36897_P37173,TGFB3,TGFBR1_TGFBR2,consensus
P10600,COMPLEX:P36897_P37173_Q04771,TGFB3,ACVR1_TGFBR1_TGFBR2,consensus
P10600,COMPLEX:P37173_Q04771,TGFB3,ACVR1_TGFBR2,consensus
P10600,COMPLEX:P37173_Q8NER5,TGFB3,ACVR1C_TGFBR2,consensus
P10600,P05106,TGFB3,ITGB3,consensus
P10600,P05556,TGFB3,ITGB1,consensus
P10600,P18084,TGFB3,ITGB5,consensus
P10600,P18564,TGFB3,ITGB6,consensus
P10600,P37023,TGFB3,ACVRL1,consensus
P10600,Q03167,TGFB3,TGFBR3,consensus
P10747,P33681,CD28,CD80,consensus
P10747,P42081,CD28,CD86,consensus
P12821,P30411,ACE,BDKRB2,consensus
P12821,P50052,ACE,AGTR2,consensus
P12830,COMPLEX:P05556_P17301,CDH1,ITGA2_ITGB1,consensus
P12830,COMPLEX:P26010_P38570,CDH1,ITGAE_ITGB7,consensus
P12830,O75197,CDH1,LRP5,consensus
P12830,P00533,CDH1,EGFR,consensus
P12830,P08069,CDH1,IGF1R,consensus
P12830,P10586,CDH1,PTPRF,consensus
P12830,P19022,CDH1,CDH2,consensus
P12830,P21860,CDH1,ERBB3,consensus
P12830,P28827,CDH1,PTPRM,consensus
P12830,Q96E93,CDH1,KLRG1,consensus
P13385,P27037,TDGF1,ACVR2A,consensus
P13385,P35052,TDGF1,GPC1,consensus
P13385,P36896,TDGF1,ACVR1B,consensus
P13385,Q13705,TDGF1,ACVR2B,consensus
P13385,Q8NER5,TDGF1,ACVR1C,consensus
P13591,O15394,NCAM1,NCAM2,consensus
P13591,P11362,NCAM1,FGFR1,consensus
P13591,P21802,NCAM1,FGFR2,consensus
P13591,P23471,NCAM1,PTPRZ1,consensus
P13591,P56159,NCAM1,GFRA1,consensus
P13591,Q96MS0,NCAM1,ROBO3,consensus
P13591,Q9Y6N7,NCAM1,ROBO1,consensus
P13598,COMPLEX:P05107_P11215,ICAM2,ITGAM_ITGB2,consensus
P13598,COMPLEX:P05107_P20701,ICAM2,ITGAL_ITGB2,consensus
P13688,P00533,CEACAM1,EGFR,consensus
P13688,Q8TDQ0,CEACAM1,HAVCR2,consensus
P13747,A6NJW9,HLA-E,CD8B2,consensus
P13747,COMPLEX:P26715_Q13241,HLA-E,KLRC1_KLRD1,consensus
P13747,COMPLEX:P26717_Q13241,HLA-E,KLRC2_KLRD1,consensus
P13747,COMPLEX:Q07444_Q13241,HLA-E,KLRC3_KLRD1,consensus
P13747,P01732,HLA-E,CD8A,consensus
P13747,P10966,HLA-E,CD8B,consensus
P13747,P26718,HLA-E,KLRK1,consensus
P13747,P43629,HLA-E,KIR3DL1,consensus
P13762,P01730,HLA-DRB4,CD4,consensus
P13762,P18627,HLA-DRB4,LAG3,consensus
P13765,P01730,HLA-DOB,CD4,consensus
P14151,O00592,SELL,PODXL,consensus
P14151,Q13477,SELL,MADCAM1,consensus
P14209,P60033,CD99,CD81,consensus
P14209,Q8TCZ2,CD99,CD99L2,consensus
P14209,Q9UKJ0,CD99,PILRB,consensus
P14209,Q9UKJ1,CD99,PILRA,consensus
P14555,P05106,PLA2G2A,ITGB3,consensus
P14555,P05556,PLA2G2A,ITGB1,consensus
P14555,P06756,PLA2G2A,ITGAV,consensus
P14555,P08648,PLA2G2A,ITGA5,consensus
P14555,P13612,PLA2G2A,ITGA4,consensus
P15813,Q8N423,CD1D,LILRB2,consensus
P15907,P00533,ST6GAL1,EGFR,consensus
P15907,P20273,ST6GAL1,CD22,consensus
P16150,Q9BZZ2,SPN,SIGLEC1,consensus
P16581,P13688,SELE,CEACAM1,consensus
P16581,P16070,SELE,CD44,consensus
P16581,Q92896,SELE,GLG1,consensus
P17693,A6NJW9,HLA-G,CD8B2,consensus
P17693,P01730,HLA-G,CD4,consensus
P17693,P01732,HLA-G,CD8A,consensus
P17693,P10966,HLA-G,CD8B,consensus
P17693,P26715,HLA-G,KLRC1,consensus
P17693,P43629,HLA-G,KIR3DL1,consensus
P17693,Q13241,HLA-G,KLRD1,consensus
P17693,Q8N423,HLA-G,LILRB2,consensus
P17693,Q8NHL6,HLA-G,LILRB1,consensus
P17693,Q99706,HLA-G,KIR2DL4,consensus
P19256,P06729,CD58,CD2,consensus
P19320,COMPLEX:P05107_Q13349,VCAM1,ITGAD_ITGB2,consensus
P19320,COMPLEX:P05556_P13612,VCAM1,ITGA4_ITGB1,consensus
P19320,COMPLEX:P05556_Q13797,VCAM1,ITGA9_ITGB1,consensus
P19320,COMPLEX:P13612_P26010,VCAM1,ITGA4_ITGB7,consensus
P20036,P01730,HLA-DPA1,CD4,consensus
P20036,P18627,HLA-DPA1,LAG3,consensus
P20273,P08575,CD22,PTPRC,consensus
P20827,O15197,EFNA1,EPHB6,consensus
P20827,P21709,EFNA1,EPHA1,consensus
P20827,P29317,EFNA1,EPHA2,consensus
P20827,P29320,EFNA1,EPHA3,consensus
P20827,P29322,EFNA1,EPHA8,consensus
P20827,P54756,EFNA1,EPHA5,consensus
P20827,P54762,EFNA1,EPHB1,consensus
P20827,P54764,EFNA1,EPHA4,consensus
P20827,Q15375,EFNA1,EPHA7,consensus
P20827,Q5JZY3,EFNA1,EPHA10,consensus
P20827,Q9UF33,EFNA1,EPHA6,consensus
P21583,P10721,KITLG,KIT,consensus
P21583,P19235,KITLG,EPOR,consensus
P22897,P08575,MRC1,PTPRC,consensus
P25189,O95297,MPZ,MPZL1,consensus
P28067,P01730,HLA-DMA,CD4,consensus
P28068,P01730,HLA-DMB,CD4,consensus
P28906,P14151,CD34,SELL,consensus
P28906,P16109,CD34,SELP,consensus
P29965,COMPLEX:P05106_P08514,CD40LG,ITGA2B_ITGB3,consensus
P29965,COMPLEX:P05107_P11215,CD40LG,ITGAM_ITGB2,consensus
P29965,COMPLEX:P05556_P08648,CD40LG,ITGA5_ITGB1,consensus
P29965,P25942,CD40LG,CD40,consensus
P30511,A6NJW9,HLA-F,CD8B2,consensus
P30511,P01732,HLA-F,CD8A,consensus
P30511,P10966,HLA-F,CD8B,consensus
P30511,P43629,HLA-F,KIR3DL1,consensus
P30511,P43630,HLA-F,KIR3DL2,consensus
P30511,Q14943,HLA-F,KIR3DS1,consensus
P30511,Q8N423,HLA-F,LILRB2,consensus
P30511,Q8NHL6,HLA-F,LILRB1,consensus
P31997,P13688,CEACAM8,CEACAM1,consensus
P32004,COMPLEX:P05106_P06756,L1CAM,ITGAV_ITGB3,consensus
P32004,COMPLEX:P05556_P08648,L1CAM,ITGA5_ITGB1,consensus
P32004,COMPLEX:P13612_P26010,L1CAM,ITGA4_ITGB7,consensus
P32004,P00533,L1CAM,EGFR,consensus
P32004,P04626,L1CAM,ERBB2,consensus
P32004,P21802,L1CAM,FGFR2,consensus
P32004,P21860,L1CAM,ERBB3,consensus
P32004,P23471,L1CAM,PTPRZ1,consensus
P32004,P29323,L1CAM,EPHB2,consensus
P32004,Q12860,L1CAM,CNTN1,consensus
P32942,COMPLEX:P05107_Q13349,ICAM3,ITGAD_ITGB2,consensus
P32942,P20701,ICAM3,ITGAL,consensus
P32942,Q9H2X3,ICAM3,CLEC4M,consensus
P33681,P10747,CD80,CD28,consensus
P33681,P16410,CD80,CTLA4,consensus
P34741,Q12913,SDC2,PTPRJ,consensus
P35070,COMPLEX:P00533_P04626,BTC,EGFR_ERBB2,consensus
P35070,COMPLEX:P04626_Q15303,BTC,ERBB2_ERBB4,consensus
P35070,P21860,BTC,ERBB3,consensus
P40199,P00533,CEACAM6,EGFR,consensus
P40199,P13688,CEACAM6,CEACAM1,consensus
P40200,P15151,CD96,PVR,consensus
P40200,Q15223,CD96,NECTIN1,consensus
P41217,Q6Q8B3,CD200,CD200R1L,consensus
P41217,Q8TD46,CD200,CD200R1,consensus
P41273,P15151,TNFSF9,PVR,consensus
P41273,P20036,TNFSF9,HLA-DPA1,consensus
P41273,Q07011,TNFSF9,TNFRSF9,consensus
P41273,Q14627,TNFSF9,IL13RA2,consensus
P41273,Q8IZF4,TNFSF9,ADGRG5,consensus
P42081,P10747,CD86,CD28,consensus
P42081,P16410,CD86,CTLA4,consensus
P43026,COMPLEX:O00238_P27037,GDF5,ACVR2A_BMPR1B,consensus
P43026,COMPLEX:O00238_Q13705,GDF5,ACVR2B_BMPR1B,consensus
P43026,COMPLEX:O00238_Q13873,GDF5,BMPR1B_BMPR2,consensus
P43026,COMPLEX:P27037_P36894,GDF5,ACVR2A_BMPR1A,consensus
P43026,COMPLEX:P36894_Q13705,GDF5,ACVR2B_BMPR1A,consensus
P43026,COMPLEX:P36894_Q13873,GDF5,BMPR1A_BMPR2,consensus
P43026,Q01974,GDF5,ROR2,consensus
P43026,Q04771,GDF5,ACVR1,consensus
P46379,O14931,BAG6,NCR3,consensus
P48023,O14763,FASLG,TNFRSF10B,consensus
P48023,O95407,FASLG,TNFRSF6B,consensus
P48023,P19438,FASLG,TNFRSF1A,consensus
P48023,P25445,FASLG,FAS,consensus
P49771,P36888,FLT3LG,FLT3,consensus
P50591,O00220,TNFSF10,TNFRSF10A,consensus
P50591,O00300,TNFSF10,TNFRSF11B,consensus
P50591,O14763,TNFSF10,TNFRSF10B,consensus
P50591,Q9UBN6,TNFSF10,TNFRSF10D,consensus
P52798,P21709,EFNA4,EPHA1,consensus
P52798,P29317,EFNA4,EPHA2,consensus
P52798,P29320,EFNA4,EPHA3,consensus
P52798,P29322,EFNA4,EPHA8,consensus
P52798,P54756,EFNA4,EPHA5,consensus
P52798,P54764,EFNA4,EPHA4,consensus
P52798,Q15375,EFNA4,EPHA7,consensus
P52798,Q5JZY3,EFNA4,EPHA10,consensus
P52798,Q9UF33,EFNA4,EPHA6,consensus
P52799,O15197,EFNB2,EPHB6,consensus
P52799,P16284,EFNB2,PECAM1,consensus
P52799,P29320,EFNB2,EPHA3,consensus
P52799,P29323,EFNB2,EPHB2,consensus
P52799,P41594,EFNB2,GRM5,consensus
P52799,P54753,EFNB2,EPHB3,consensus
P52799,P54760,EFNB2,EPHB4,consensus
P52799,P54762,EFNB2,EPHB1,consensus
P52799,P54764,EFNB2,EPHA4,consensus
P52799,Q13255,EFNB2,GRM1,consensus
P52799,Q9UF33,EFNB2,EPHA6,consensus
P52803,O15197,EFNA5,EPHB6,consensus
P52803,P21709,EFNA5,EPHA1,consensus
P52803,P29317,EFNA5,EPHA2,consensus
P52803,P29320,EFNA5,EPHA3,consensus
P52803,P29322,EFNA5,EPHA8,consensus
P52803,P29323,EFNA5,EPHB2,consensus
P52803,P54756,EFNA5,EPHA5,consensus
P52803,P54762,EFNA5,EPHB1,consensus
P52803,P54764,EFNA5,EPHA4,consensus
P52803,Q15375,EFNA5,EPHA7,consensus
P52803,Q5JZY3,EFNA5,EPHA10,consensus
P52803,Q9UF33,EFNA5,EPHA6,consensus
P56975,COMPLEX:P04626_Q15303,NRG3,ERBB2_ERBB4,consensus
P56975,P21860,NRG3,ERBB3,consensus
P57087,COMPLEX:P05556_P06756,JAM2,ITGAV_ITGB1,consensus
P57087,COMPLEX:P05556_P13612,JAM2,ITGA4_ITGB1,consensus
P57087,COMPLEX:P05556_P26006,JAM2,ITGA3_ITGB1,consensus
P58400,Q8N2Q7,NRXN1,NLGN1,consensus
P58400,Q8NFZ4,NRXN1,NLGN2,consensus
P58400,Q9NZ94,NRXN1,NLGN3,consensus
P58401,Q8N2Q7,NRXN2,NLGN1,consensus
P58401,Q8NFZ4,NRXN2,NLGN2,consensus
P58401,Q9NZ94,NRXN2,NLGN3,consensus
P61769,P02786,B2M,TFRC,consensus
P61769,P04234,B2M,CD3D,consensus
P61769,P06126,B2M,CD1A,consensus
P61769,P09693,B2M,CD3G,consensus
P61769,P20963,B2M,CD247,consensus
P61769,P26715,B2M,KLRC1,consensus
P61769,P26717,B2M,KLRC2,consensus
P61769,P43626,B2M,KIR2DL1,consensus
P61769,P43628,B2M,KIR2DL3,consensus
P61769,P43629,B2M,KIR3DL1,consensus
P61769,Q13241,B2M,KLRD1,consensus
P61769,Q8N423,B2M,LILRB2,consensus
P61769,Q8NHL6,B2M,LILRB1,consensus
P78310,Q86YT9,CXADR,JAML,consensus
P78324,Q08722,SIRPA,CD47,consensus
P78504,P15529,JAG1,CD46,consensus
P78504,P46531,JAG1,NOTCH1,consensus
P78504,Q04721,JAG1,NOTCH2,consensus
P78504,Q99466,JAG1,NOTCH4,consensus
P78504,Q9UM47,JAG1,NOTCH3,consensus
P78536,P05556,ADAM17,ITGB1,consensus
P78536,P08581,ADAM17,MET,consensus
P78536,P08648,ADAM17,ITGA5,consensus
P78536,P08887,ADAM17,IL6R,consensus
P78536,P15941,ADAM17,MUC1,consensus
P78536,P46531,ADAM17,NOTCH1,consensus
P78536,Q15303,ADAM17,ERBB4,consensus
P78536,Q6PJF5,ADAM17,RHBDF2,consensus
P79483,P01730,HLA-DRB3,CD4,consensus
P79483,P18627,HLA-DRB3,LAG3,consensus
P80370,P46531,DLK1,NOTCH1,consensus
P80370,Q04721,DLK1,NOTCH2,consensus
P80370,Q99466,DLK1,NOTCH4,consensus
P80370,Q9UM47,DLK1,NOTCH3,consensus
P98172,O15197,EFNB1,EPHB6,consensus
P98172,P04626,EFNB1,ERBB2,consensus
P98172,P29323,EFNB1,EPHB2,consensus
P98172,P54753,EFNB1,EPHB3,consensus
P98172,P54760,EFNB1,EPHB4,consensus
P98172,P54762,EFNB1,EPHB1,consensus
P98172,P54764,EFNB1,EPHA4,consensus
P98172,Q9UF33,EFNB1,EPHA6,consensus
Q02246,O14786,CNTN2,NRP1,consensus
Q02246,Q12860,CNTN2,CNTN1,consensus
Q02246,Q92823,CNTN2,NRCAM,consensus
Q02297,COMPLEX:P04626_P21860,NRG1,ERBB2_ERBB3,consensus
Q02297,COMPLEX:P04626_Q15303,NRG1,ERBB2_ERBB4,consensus
Q02297,COMPLEX:P05106_P06756,NRG1,ITGAV_ITGB3,consensus
Q02297,O94910,NRG1,ADGRL1,consensus
Q02297,P00533,NRG1,EGFR,consensus
Q02297,P04440,NRG1,HLA-DPB1,consensus
Q02297,P35052,NRG1,GPC1,consensus
Q02297,Q86X29,NRG1,LSR,consensus
Q02297,Q8NC67,NRG1,NETO2,consensus
Q02297,Q9BXB1,NRG1,LGR4,consensus
Q02413,Q14574,DSG1,DSC3,consensus
Q02487,P32926,DSC2,DSG3,consensus
Q02487,Q86SJ6,DSC2,DSG4,consensus
Q08554,P32926,DSC1,DSG3,consensus
Q08554,Q86SJ6,DSC1,DSG4,consensus
Q08722,P78324,CD47,SIRPA,consensus
Q08722,Q9P1W8,CD47,SIRPG,consensus
Q10589,P59901,BST2,LILRA4,consensus
Q12860,P23471,CNTN1,PTPRZ1,consensus
Q12860,P46531,CNTN1,NOTCH1,consensus
Q12860,Q04721,CNTN1,NOTCH2,consensus
Q12860,Q92823,CNTN1,NRCAM,consensus
Q13443,P05556,ADAM9,ITGB1,consensus
Q13443,P06756,ADAM9,ITGAV,consensus
Q13443,P18084,ADAM9,ITGB5,consensus
Q13443,P23229,ADAM9,ITGA6,consensus
Q13443,P26006,ADAM9,ITGA3,consensus
Q13444,P05106,ADAM15,ITGB3,consensus
Q13444,P05556,ADAM15,ITGB1,consensus
Q13444,P06756,ADAM15,ITGAV,consensus
Q13444,P08648,ADAM15,ITGA5,consensus
Q13444,Q13797,ADAM15,ITGA9,consensus
Q13477,COMPLEX:P13612_P26010,MADCAM1,ITGA4_ITGB7,consensus
Q13477,P16070,MADCAM1,CD44,consensus
Q13591,P08581,SEMA5A,MET,consensus
Q13591,P51805,SEMA5A,PLXNA3,consensus
Q13591,Q9UIW2,SEMA5A,PLXNA1,consensus
Q13591,Q9ULL4,SEMA5A,PLXNB3,consensus
Q13740,O00533,ALCAM,CHL1,consensus
Q13740,O14786,ALCAM,NRP1,consensus
Q13740,P30203,ALCAM,CD6,consensus
Q14126,Q08554,DSG2,DSC1,consensus
Q14126,Q14574,DSG2,DSC3,consensus
Q14242,O15389,SELPLG,SIGLEC5,consensus
Q14242,P05107,SELPLG,ITGB2,consensus
Q14242,P11215,SELPLG,ITGAM,consensus
Q14242,P14151,SELPLG,SELL,consensus
Q14242,P16109,SELPLG,SELP,consensus
Q14574,P32926,DSC3,DSG3,consensus
Q14574,Q86SJ6,DSC3,DSG4,consensus
Q14773,P05106,ICAM4,ITGB3,consensus
Q14773,P05107,ICAM4,ITGB2,consensus
Q14773,P05556,ICAM4,ITGB1,consensus
Q14773,P06756,ICAM4,ITGAV,consensus
