source,target,source_genesymbol,target_genesymbol,resource
O00182,P08575,LGALS9,PTPRC,consensus
O00182,P08581,LGALS9,MET,consensus
O00182,P16070,LGALS9,CD44,consensus
O00182,Q07954,LGALS9,LRP1,consensus
O00182,Q08722,LGALS9,CD47,consensus
O00182,Q15262,LGALS9,PTPRK,consensus
O00182,Q5KU26,LGALS9,COLEC12,consensus
O00182,Q8TDQ0,LGALS9,HAVCR2,consensus
O00182,Q9UBG0,LGALS9,MRC2,consensus
O00548,P46531,DLL1,NOTCH1,consensus
O00548,Q04721,DLL1,NOTCH2,consensus
O00548,Q99466,DLL1,NOTCH4,consensus
O00548,Q9UM47,DLL1,NOTCH3,consensus
O00592,P14151,PODXL,SELL,consensus
O14511,COMPLEX:P04626_P21860,NRG2,ERBB2_ERBB3,consensus
O14511,COMPLEX:P04626_Q15303,NRG2,ERBB2_ERBB4,consensus
O14514,Q9BZR6,ADGRB1,RTN4R,consensus
O14672,O95858,ADAM10,TSPAN15,consensus
O14672,O95859,ADAM10,TSPAN12,consensus
O14672,P08581,ADAM10,MET,consensus
O14672,P08887,ADAM10,IL6R,consensus
O14672,P16070,ADAM10,CD44,consensus
O14672,P29320,ADAM10,EPHA3,consensus
O14672,P30530,ADAM10,AXL,consensus
O14672,P46531,ADAM10,NOTCH1,consensus
O14672,Q04721,ADAM10,NOTCH2,consensus
O14672,Q92823,ADAM10,NRCAM,consensus
O14672,Q96FV3,ADAM10,TSPAN17,consensus
O14672,Q9H1Z9,ADAM10,TSPAN10,consensus
O14672,Q9NZC2,ADAM10,TREM2,consensus
O14788,O00300,TNFSF11,TNFRSF11B,consensus
O14788,Q9BXB1,TNFSF11,LGR4,consensus
O14788,Q9Y6Q6,TNFSF11,TNFRSF11A,consensus
O14944,COMPLEX:P00533_P04626,EREG,EGFR_ERBB2,consensus
O14944,COMPLEX:P04626_Q15303,EREG,ERBB2_ERBB4,consensus
O14944,P21860,EREG,ERBB3,consensus
O43184,P05556,ADAM12,ITGB1,consensus
O43184,Q13797,ADAM12,ITGA9,consensus
O43508,P28908,TNFSF12,TNFRSF8,consensus
O43508,Q86VB7,TNFSF12,CD163,consensus
O43508,Q93038,TNFSF12,TNFRSF25,consensus
O43508,Q9NP84,TNFSF12,TNFRSF12A,consensus
O43557,O95407,TNFSF14,TNFRSF6B,consensus
O43557,P36941,TNFSF14,LTBR,consensus
O43557,Q92956,TNFSF14,TNFRSF14,consensus
O75077,P05106,ADAM23,ITGB3,consensus
O75077,P08648,ADAM23,ITGA5,consensus
O75077,P13612,ADAM23,ITGA4,consensus
O75078,P13612,ADAM11,ITGA4,consensus
O75144,P10747,ICOSLG,CD28,consensus
O75144,P16410,ICOSLG,CTLA4,consensus
O75144,Q9Y6W8,ICOSLG,ICOS,consensus
O75326,COMPLEX:P05556_P56199,SEMA7A,ITGA1_ITGB1,consensus
O75326,O60486,SEMA7A,PLXNC1,consensus
O75888,O00300,TNFSF13,TNFRSF11B,consensus
O75888,O14836,TNFSF13,TNFRSF13B,consensus
O75888,P19438,TNFSF13,TNFRSF1A,consensus
O75888,P25445,TNFSF13,FAS,consensus
O75888,P34741,TNFSF13,SDC2,consensus
O75888,Q02223,TNFSF13,TNFRSF17,consensus
O75888,Q92956,TNFSF13,TNFRSF14,consensus
O94856,COMPLEX:P78357_Q12860,NFASC,CNTN1_CNTNAP1,consensus
O94933,P23468,SLITRK3,PTPRD,consensus
O94933,Q13332,SLITRK3,PTPRS,consensus
O94991,P23468,SLITRK5,PTPRD,consensus
O95150,O95407,TNFSF15,TNFRSF6B,consensus
O95150,Q93038,TNFSF15,TNFRSF25,consensus
P01135,COMPLEX:P00533_P04626,TGFA,EGFR_ERBB2,consensus
P01135,P21860,TGFA,ERBB3,consensus
P01135,Q15303,TGFA,ERBB4,consensus
P01375,O15552,TNF,FFAR2,consensus
P01375,O75509,TNF,TNFRSF21,consensus
P01375,P19438,TNF,TNFRSF1A,consensus
P01375,P20333,TNF,TNFRSF1B,consensus
P01375,P25445,TNF,FAS,consensus
P01375,P35916,TNF,FLT4,consensus
P01375,P46531,TNF,NOTCH1,consensus
P01375,Q13332,TNF,PTPRS,consensus
P01375,Q9C0C4,TNF,SEMA4C,consensus
P01375,Q9H7M9,TNF,VSIR,consensus
P01375,Q9HCU4,TNF,CELSR2,consensus
P01375,Q9Y6W8,TNF,ICOS,consensus
P01889,A6NJW9,HLA-B,CD8B2,consensus
P01889,O75019,HLA-B,LILRA1,consensus
P01889,P01732,HLA-B,CD8A,consensus
P01889,P04234,HLA-B,CD3D,consensus
P01889,P09693,HLA-B,CD3G,consensus
P01889,P10966,HLA-B,CD8B,consensus
P01889,P43628,HLA-B,KIR2DL3,consensus
P01889,P43629,HLA-B,KIR3DL1,consensus
P01889,P43630,HLA-B,KIR3DL2,consensus
P01889,Q13241,HLA-B,KLRD1,consensus
P01889,Q8N423,HLA-B,LILRB2,consensus
P01889,Q8NHL6,HLA-B,LILRB1,consensus
P01903,P01730,HLA-DRA,CD4,consensus
P01903,P18627,HLA-DRA,LAG3,consensus
P01906,P01730,HLA-DQA2,CD4,consensus
P01906,P18627,HLA-DQA2,LAG3,consensus
P01909,P01730,HLA-DQA1,CD4,consensus
P01909,P18627,HLA-DQA1,LAG3,consensus
P01911,P01730,HLA-DRB1,CD4,consensus
P01911,P18627,HLA-DRB1,LAG3,consensus
P01920,P01730,HLA-DQB1,CD4,consensus
P01920,P18627,HLA-DQB1,LAG3,consensus
P04083,COMPLEX:P25089_P25090,ANXA1,FPR2_FPR3,consensus
P04083,P00533,ANXA1,EGFR,consensus
P04083,P08913,ANXA1,ADRA2A,consensus
P04083,P21462,ANXA1,FPR1,consensus
P04083,P48039,ANXA1,MTNR1A,consensus
P04083,Q14831,ANXA1,GRM7,consensus
P04216,COMPLEX:P05106_P06756,THY1,ITGAV_ITGB3,consensus
P04216,COMPLEX:P05107_P11215,THY1,ITGAM_ITGB2,consensus
P04216,COMPLEX:P05107_P20702,THY1,ITGAX_ITGB2,consensus
P04439,A6NJW9,HLA-A,CD8B2,consensus
P04439,O75019,HLA-A,LILRA1,consensus
P04439,P01732,HLA-A,CD8A,consensus
P04439,P04234,HLA-A,CD3D,consensus
P04439,P04626,HLA-A,ERBB2,consensus
P04439,P09693,HLA-A,CD3G,consensus
P04439,P10966,HLA-A,CD8B,consensus
P04439,P43626,HLA-A,KIR2DL1,consensus
P04439,P43628,HLA-A,KIR2DL3,consensus
P04439,P43629,HLA-A,KIR3DL1,consensus
P04439,P43630,HLA-A,KIR3DL2,consensus
P04439,Q06481,HLA-A,APLP2,consensus
P04439,Q8N423,HLA-A,LILRB2,consensus
P04439,Q8NHL6,HLA-A,LILRB1,consensus
P04440,P01730,HLA-DPB1,CD4,consensus
P04440,P18627,HLA-DPB1,LAG3,consensus
P05067,O75509,APP,TNFRSF21,consensus
P05067,O75581,APP,LRP6,consensus
P05067,O95858,APP,TSPAN15,consensus
P05067,O95859,APP,TSPAN12,consensus
P05067,P04233,APP,CD74,consensus
P05067,P08138,APP,NGFR,consensus
P05067,P08865,APP,RPSA,consensus
P05067,P08913,APP,ADRA2A,consensus
P05067,P25090,APP,FPR2,consensus
P05067,P35052,APP,GPC1,consensus
P05067,P43116,APP,PTGER2,consensus
P05067,P43146,APP,DCC,consensus
P05067,P48039,APP,MTNR1A,consensus
P05067,P51693,APP,APLP1,consensus
P05067,P98155,APP,VLDLR,consensus
P05067,Q04721,APP,NOTCH2,consensus
P05067,Q06481,APP,APLP2,consensus
P05067,Q07954,APP,LRP1,consensus
P05067,Q14831,APP,GRM7,consensus
P05067,Q15109,APP,AGER,consensus
P05067,Q7Z4F1,APP,LRP10,consensus
P05067,Q92542,APP,NCSTN,consensus
P05107,P04216,ITGB2,THY1,consensus
P05107,Q15762,ITGB2,CD226,consensus
P05362,COMPLEX:P05107_P11215,ICAM1,ITGAM_ITGB2,consensus
P05362,COMPLEX:P05107_P20701,ICAM1,ITGAL_ITGB2,consensus
P05362,COMPLEX:P05107_P20702,ICAM1,ITGAX_ITGB2,consensus
P05362,P00533,ICAM1,EGFR,consensus
P05362,P01589,ICAM1,IL2RA,consensus
P05362,P15941,ICAM1,MUC1,consensus
P05362,P16150,ICAM1,SPN,consensus
P05362,P31785,ICAM1,IL2RG,consensus
P06239,COMPLEX:P01732_P10966,LCK,CD8A_CD8B,consensus
P06734,COMPLEX:P05106_P06756,FCER2,ITGAV_ITGB3,consensus
P06734,COMPLEX:P05107_P11215,FCER2,ITGAM_ITGB2,consensus
P06734,COMPLEX:P05107_P20702,FCER2,ITGAX_ITGB2,consensus
P06734,P20023,FCER2,CR2,consensus
P06756,P04216,ITGAV,THY1,consensus
P07355,O60603,ANXA2,TLR2,consensus
P07355,Q8WZ75,ANXA2,ROBO4,consensus
P07359,COMPLEX:P05107_P11215,GP1BA,ITGAM_ITGB2,consensus
P07996,COMPLEX:P05106_P06756,THBS1,ITGAV_ITGB3,consensus
P07996,COMPLEX:P05106_P08514,THBS1,ITGA2B_ITGB3,consensus
P07996,COMPLEX:P05556_P26006,THBS1,ITGA3_ITGB1,consensus
P07996,O00300,THBS1,TNFRSF11B,consensus
