lr_pair	ligand_gene_symbol	receptor_gene_symbol	ligand_gene_id	receptor_gene_id	ligand_ensembl_protein_id	receptor_ensembl_protein_id	ligand_ensembl_gene_id	receptor_ensembl_gene_id	evidence
EFNB1_EPHB1	EFNB1	EPHB1	1947	2047	ENSP00000204961	ENSP00000381097	ENSG00000090776	ENSG00000154928	11114742,15114347
EFNB1_EPHB3	EFNB1	EPHB3	1947	2049	ENSP00000204961	ENSP00000332118	ENSG00000090776	ENSG00000182580	11114742,15114347
EFNB1_EPHB2	EFNB1	EPHB2	1947	2048	ENSP00000204961	ENSP00000363763	ENSG00000090776	ENSG00000133216	11114742,15114347
EFNB1_EPHA4	EFNB1	EPHA4	1947	2043	ENSP00000204961	ENSP00000281821	ENSG00000090776	ENSG00000116106	15114347
EFNB1_EPHA6	EFNB1	EPHA6	1947	285220	ENSP00000204961	ENSP00000374323	ENSG00000090776	ENSG00000080224	32196115
DLL3_NOTCH1	DLL3	NOTCH1	10683	4851	ENSP00000205143	ENSP00000277541	ENSG00000090932	NA	22353464
DLL3_NOTCH4	DLL3	NOTCH4	10683	4855	ENSP00000205143	ENSP00000364163	ENSG00000090932	ENSG00000204301	22353464
DLL3_NOTCH2	DLL3	NOTCH2	10683	4853	ENSP00000205143	ENSP00000256646	ENSG00000090932	ENSG00000134250	22353464
DLL3_NOTCH3	DLL3	NOTCH3	10683	4854	ENSP00000205143	ENSP00000263388	ENSG00000090932	ENSG00000074181	22353464
SEMA4G_PLXNB2	SEMA4G	PLXNB2	57715	23654	ENSP00000210633	ENSP00000409171	ENSG00000095539	ENSG00000196576	26198319,32196115,32103204
VCL_ITGB5	VCL	ITGB5	7414	3693	ENSP00000211998	ENSP00000296181	ENSG00000035403	ENSG00000082781	32196115
VCL_ALK	VCL	ALK	7414	238	ENSP00000211998	ENSP00000373700	ENSG00000035403	ENSG00000171094	21213368
EFNA2_EPHA7	EFNA2	EPHA7	1943	2045	ENSP00000215368	ENSP00000358309	ENSG00000099617	ENSG00000135333	11114742,15114347
EFNA2_EPHA10	EFNA2	EPHA10	1943	284656	ENSP00000215368	ENSP00000362139	ENSG00000099617	ENSG00000183317	11114742
EFNA2_EPHA3	EFNA2	EPHA3	1943	2042	ENSP00000215368	ENSP00000337451	ENSG00000099617	ENSG00000044524	11114742,15114347
EFNA2_EPHA1	EFNA2	EPHA1	1943	2041	ENSP00000215368	ENSP00000275815	ENSG00000099617	ENSG00000146904	15114347
EFNA2_EPHA5	EFNA2	EPHA5	1943	2044	ENSP00000215368	ENSP00000480763	ENSG00000099617	ENSG00000145242	11114742,15114347
EFNA2_EPHA4	EFNA2	EPHA4	1943	2043	ENSP00000215368	ENSP00000281821	ENSG00000099617	ENSG00000116106	11114742,15114347
EFNA2_EPHA6	EFNA2	EPHA6	1943	285220	ENSP00000215368	ENSP00000374323	ENSG00000099617	ENSG00000080224	11114742
EFNA2_EPHA2	EFNA2	EPHA2	1943	1969	ENSP00000215368	ENSP00000351209	ENSG00000099617	ENSG00000142627	11114742,15114347
FGF22_FGFR2	FGF22	FGFR2	27006	2263	ENSP00000215530	ENSP00000410294	ENSG00000070388	ENSG00000066468	16597617
FGF22_FGFR1	FGF22	FGFR1	27006	2260	ENSP00000215530	ENSP00000393312	ENSG00000070388	ENSG00000077782	16597617
