lr_pair	ligand_gene_symbol	receptor_gene_symbol	ligand_gene_id	receptor_gene_id	ligand_ensembl_protein_id	receptor_ensembl_protein_id	ligand_ensembl_gene_id	receptor_ensembl_gene_id	evidence
SERPINE1_PLAUR	SERPINE1	PLAUR	5054	5329	ENSP00000223095	ENSP00000339328	ENSG00000106366	ENSG00000011422	10896774
SERPINE1_ITGAV	SERPINE1	ITGAV	5054	3685	ENSP00000223095	ENSP00000261023	ENSG00000106366	ENSG00000138448	32196115
SERPINE1_LRP1	SERPINE1	LRP1	5054	4035	ENSP00000223095	ENSP00000243077	ENSG00000106366	ENSG00000123384	15001579
SERPINE1_ITGB5	SERPINE1	ITGB5	5054	3693	ENSP00000223095	ENSP00000296181	ENSG00000106366	ENSG00000082781	32196115
C5_ADRA2A	C5	ADRA2A	727	150	ENSP00000223642	ENSP00000280155	ENSG00000106804	ENSG00000150594	32196115
C5_MTNR1A	C5	MTNR1A	727	4543	ENSP00000223642	ENSP00000302811	ENSG00000106804	ENSG00000168412	32196115
C5_C5AR2	C5	C5AR2	727	27202	ENSP00000223642	ENSP00000472620	ENSG00000106804	ENSG00000134830	11773063
C5_C5AR1	C5	C5AR1	727	728	ENSP00000223642	ENSP00000347197	ENSG00000106804	ENSG00000197405	1847994
C5_GRM7	C5	GRM7	727	2917	ENSP00000223642	ENSP00000350348	ENSG00000106804	ENSG00000196277	32196115
TNFSF8_TNFRSF8	TNFSF8	TNFRSF8	944	943	ENSP00000223795	ENSP00000263932	ENSG00000106952	ENSG00000120949	8391931
RLN1_RXFP2	RLN1	RXFP2	6013	122042	ENSP00000223862	ENSP00000298386	ENSG00000107018	ENSG00000133105	11809971
RLN1_RXFP1	RLN1	RXFP1	6013	59350	ENSP00000223862	ENSP00000405841	ENSG00000107018	ENSG00000171509	11809971
CSF3_CSF1R	CSF3	CSF1R	1440	1436	ENSP00000225474	ENSP00000286301	ENSG00000108342	ENSG00000182578	26198319,32196115,32103204
CSF3_CSF3R	CSF3	CSF3R	1440	1441	ENSP00000225474	ENSP00000362195	ENSG00000108342	ENSG00000119535	10364174
WNT3_RYK	WNT3	RYK	7473	6259	ENSP00000225512	ENSP00000478721	ENSG00000108379	ENSG00000163785	15454084
WNT3_LRP6	WNT3	LRP6	7473	4040	ENSP00000225512	ENSP00000261349	ENSG00000108379	ENSG00000070018	18528331
WNT3_ROR2	WNT3	ROR2	7473	4920	ENSP00000225512	ENSP00000364860	ENSG00000108379	ENSG00000169071	15388793
WNT3_FZD1	WNT3	FZD1	7473	8321	ENSP00000225512	ENSP00000287934	ENSG00000108379	ENSG00000157240	10557084
WNT3_FZD7	WNT3	FZD7	7473	8324	ENSP00000225512	ENSP00000286201	ENSG00000108379	ENSG00000155760	18313787
WNT3_FZD8	WNT3	FZD8	7473	8325	ENSP00000225512	ENSP00000363826	ENSG00000108379	ENSG00000177283	18528331
WNT3_FZD5	WNT3	FZD5	7473	7855	ENSP00000225512	ENSP00000354607	ENSG00000108379	ENSG00000163251	32196115
CCL2_CCR4	CCL2	CCR4	6347	1233	ENSP00000225831	ENSP00000332659	ENSG00000108691	ENSG00000183813	16421945
CCL2_CCR1	CCL2	CCR1	6347	1230	ENSP00000225831	ENSP00000296140	ENSG00000108691	ENSG00000163823	10699158
CCL2_CCR2	CCL2	CCR2	6347	729230	ENSP00000225831	ENSP00000292301	ENSG00000108691	ENSG00000121807	10699158,24218476
CCL2_CCR5	CCL2	CCR5	6347	1234	ENSP00000225831	ENSP00000292303	ENSG00000108691	ENSG00000160791	16298345
CCL2_CCR10	CCL2	CCR10	6347	2826	ENSP00000225831	ENSP00000332504	ENSG00000108691	ENSG00000184451	9364936
CCL2_CCR3	CCL2	CCR3	6347	1232	ENSP00000225831	ENSP00000441600	ENSG00000108691	ENSG00000183625	8642344
CCL2_ACKR1	CCL2	ACKR1	6347	2532	ENSP00000225831	ENSP00000357103	ENSG00000108691	ENSG00000213088	10699158,13679391
CCL2_ACKR2	CCL2	ACKR2	6347	1238	ENSP00000225831	ENSP00000416996	ENSG00000108691	ENSG00000144648	10699158,24218476
CCL2_ACKR4	CCL2	ACKR4	6347	51554	ENSP00000225831	ENSP00000249887	ENSG00000108691	ENSG00000129048	10734104
CCL1_CCR8	CCL1	CCR8	6346	1237	ENSP00000225842	ENSP00000326432	ENSG00000108702	ENSG00000179934	10699158,24218476
CCL13_CXCR3	CCL13	CXCR3	6357	2833	ENSP00000225844	ENSP00000362795	ENSG00000181374	ENSG00000186810	9660793
CCL13_CCR3	CCL13	CCR3	6357	1232	ENSP00000225844	ENSP00000441600	ENSG00000181374	ENSG00000183625	10699158,24218476
CCL13_ACKR1	CCL13	ACKR1	6357	2532	ENSP00000225844	ENSP00000357103	ENSG00000181374	ENSG00000213088	10699158
CCL13_CCR1	CCL13	CCR1	6357	1230	ENSP00000225844	ENSP00000296140	ENSG00000181374	ENSG00000163823	10699158
CCL13_ACKR2	CCL13	ACKR2	6357	1238	ENSP00000225844	ENSP00000416996	ENSG00000181374	ENSG00000144648	10699158,24218476
CCL13_CCR2	CCL13	CCR2	6357	729230	ENSP00000225844	ENSP00000292301	ENSG00000181374	ENSG00000121807	10699158,24218476
CCL13_CCR5	CCL13	CCR5	6357	1234	ENSP00000225844	ENSP00000292303	ENSG00000181374	ENSG00000160791	9790730
CCL13_ACKR4	CCL13	ACKR4	6357	51554	ENSP00000225844	ENSP00000249887	ENSG00000181374	ENSG00000129048	10734104
