interaction_name	ligand_type	interaction_type	lig_contributor	lig_contributor_group	lig_contributor_coeff	target_subunit	target_subunit_group	target_subunit_coeff
Glu_Grm3	Neurotransmitter	ligand-receptor	Gls-Slc17a6-Slc17a7-Slc17a8	1-2-2-2	1-1		1	1.0
Nrxn1_Nlgn1	Synaptic-adhesion-molecule	ligand-receptor	Nrxn1	1	1		1	1.0
Nrxn2_Nlgn2	Synaptic-adhesion-molecule	ligand-receptor	Nrxn2	1	1		1	1.0
Nrxn3_Nlgn3	Synaptic-adhesion-molecule	ligand-receptor	Nrxn3	1	1		1	1.0
GABA_Gabra1	Neurotransmitter	ligand-receptor	Gad1-Gad2-Slc32a1	1-1-2	1-1		1	1.0
GABA_Gabra2	Neurotransmitter	ligand-receptor	Gad1-Gad2-Slc32a1	1-1-2	1-1		1	1.0
GABA_Gabra3	Neurotransmitter	ligand-receptor	Gad1-Gad2-Slc32a1	1-1-2	1-1		1	1.0
GABA_Gabra4	Neurotransmitter	ligand-receptor	Gad1-Gad2-Slc32a1	1-1-2	1-1		1	1.0
GABA_Gabra5	Neurotransmitter	ligand-receptor	Gad1-Gad2-Slc32a1	1-1-2	1-1		1	1.0
GABA_Gabra6	Neurotransmitter	ligand-receptor	Gad1-Gad2-Slc32a1	1-1-2	1-1		1	1.0
GABA_Gabrb1	Neurotransmitter	ligand-receptor	Gad1-Gad2-Slc32a1	1-1-2	1-1		1	1.0
GABA_Gabrb2	Neurotransmitter	ligand-receptor	Gad1-Gad2-Slc32a1	1-1-2	1-1		1	1.0
GABA_Gabrb3	Neurotransmitter	ligand-receptor	Gad1-Gad2-Slc32a1	1-1-2	1-1		1	1.0
GABA_Gabrg1	Neurotransmitter	ligand-receptor	Gad1-Gad2-Slc32a1	1-1-2	1-1		1	1.0
GABA_Gabrg2	Neurotransmitter	ligand-receptor	Gad1-Gad2-Slc32a1	1-1-2	1-1		1	1.0
GABA_Gabrg3	Neurotransmitter	ligand-receptor	Gad1-Gad2-Slc32a1	1-1-2	1-1		1	1.0
GABA_Gabbr1	Neurotransmitter	ligand-receptor	Gad1-Gad2-Slc32a1	1-1-2	1-1		1	1.0
GABA_Gabbr2	Neurotransmitter	ligand-receptor	Gad1-Gad2-Slc32a1	1-1-2	1-1		1	1.0
Gja1_Gja1	Gap-junction-protein	ligand-receptor	Gja1	1	1		1	1.0
Gja3_Gja3	Gap-junction-protein	ligand-receptor	Gja3	1	1		1	1.0
Gja4_Gja4	Gap-junction-protein	ligand-receptor	Gja4	1	1		1	1.0
Gja5_Gja5	Gap-junction-protein	ligand-receptor	Gja5	1	1		1	1.0
Gja6_Gja6	Gap-junction-protein	ligand-receptor	Gja6	1	1		1	1.0
Gja8_Gja8	Gap-junction-protein	ligand-receptor	Gja8	1	1		1	1.0
Gja10_Gja10	Gap-junction-protein	ligand-receptor	Gja10	1	1		1	1.0
Gjb1_Gjb1	Gap-junction-protein	ligand-receptor	Gjb1	1	1		1	1.0
Gjb2_Gjb2	Gap-junction-protein	ligand-receptor	Gjb2	1	1		1	1.0
Gjb3_Gjb3	Gap-junction-protein	ligand-receptor	Gjb3	1	1		1	1.0
Gjb4_Gjb4	Gap-junction-protein	ligand-receptor	Gjb4	1	1		1	1.0
Gjb5_Gjb5	Gap-junction-protein	ligand-receptor	Gjb5	1	1		1	1.0
Gjb6_Gjb6	Gap-junction-protein	ligand-receptor	Gjb6	1	1		1	1.0
Gjc1_Gjc1	Gap-junction-protein	ligand-receptor	Gjc1	1	1		1	1.0
Gjc2_Gjc2	Gap-junction-protein	ligand-receptor	Gjc2	1	1		1	1.0
Gjc3_Gjc3	Gap-junction-protein	ligand-receptor	Gjc3	1	1		1	1.0
Gjd2_Gjd2	Gap-junction-protein	ligand-receptor	Gjd2	1	1		1	1.0
Gjd3_Gjd3	Gap-junction-protein	ligand-receptor	Gjd3	1	1		1	1.0
Gjd4_Gjd4	Gap-junction-protein	ligand-receptor	Gjd4	1	1		1	1.0
Gje1_Gje1	Gap-junction-protein	ligand-receptor	Gje1	1	1		1	1.0
Ach_Chrna1	Neurotransmitter	ligand-receptor	Chat-Slc18a3	1-2	1-1		1	1.0
Ach_Chrna2	Neurotransmitter	ligand-receptor	Chat-Slc18a3	1-2	1-1		1	1.0
Ach_Chrna3	Neurotransmitter	ligand-receptor	Chat-Slc18a3	1-2	1-1		1	1.0
Ach_Chrna4	Neurotransmitter	ligand-receptor	Chat-Slc18a3	1-2	1-1		1	1.0
Ach_Chrna5	Neurotransmitter	ligand-receptor	Chat-Slc18a3	1-2	1-1		1	1.0
Ach_Chrna6	Neurotransmitter	ligand-receptor	Chat-Slc18a3	1-2	1-1		1	1.0
Ach_Chrna7	Neurotransmitter	ligand-receptor	Chat-Slc18a3	1-2	1-1		1	1.0
Ach_Chrna9	Neurotransmitter	ligand-receptor	Chat-Slc18a3	1-2	1-1		1	1.0
Ach_Chrna10	Neurotransmitter	ligand-receptor	Chat-Slc18a3	1-2	1-1		1	1.0
Ach_Chrnb1	Neurotransmitter	ligand-receptor	Chat-Slc18a3	1-2	1-1		1	1.0
Ach_Chrnb2	Neurotransmitter	ligand-receptor	Chat-Slc18a3	1-2	1-1		1	1.0
Ach_Chrnb3	Neurotransmitter	ligand-receptor	Chat-Slc18a3	1-2	1-1		1	1.0
Ach_Chrnb4	Neurotransmitter	ligand-receptor	Chat-Slc18a3	1-2	1-1		1	1.0
Ach_Chrnd	Neurotransmitter	ligand-receptor	Chat-Slc18a3	1-2	1-1		1	1.0
Ach_Chrne	Neurotransmitter	ligand-receptor	Chat-Slc18a3	1-2	1-1		1	1.0
Ach_Chrng	Neurotransmitter	ligand-receptor	Chat-Slc18a3	1-2	1-1		1	1.0
Ach_Chrm1	Neurotransmitter	ligand-receptor	Chat-Slc18a3	1-2	1-1		1	1.0
Ach_Chrm2	Neurotransmitter	ligand-receptor	Chat-Slc18a3	1-2	1-1		1	1.0
Ach_Chrm3	Neurotransmitter	ligand-receptor	Chat-Slc18a3	1-2	1-1		1	1.0
